Brand & Model + Spec,Unit Price,Seller
"Lenovo V15, Intel i3 11th Gen Laptop (8GB/256GB SSD/Windows 11 Home/Office H",Rs. 36490,Mashiva Tech.9990666322
"HP 	ProBook 440 G9	Notebook, 12th Gen Intel Core i7-1255U,14 inch(35.6cm) Anti-Glare FHD Laptop/16GB RAM/512GB SSD/BKL Keyboard/Intel Iris Xe graphics/Win11...",Rs. 76500,AVS Infomedia6397301845
"LENOVO	 V-14, Intel Core i3 12th Gen FHD Antiglare 250 nits Thin and Light Lap (8GB RAM/512GB SSD.....82TSA01KIH..TAX PAID ....CLL FOR BEST DEALS",Rs. 26500,""""
"HP	 250 G9, Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Thin and Light Laptop 15.6 inch, Silver, . rate",Rs. 30500,""""
"DELL 	VOSTRO 3440, Intel Core i5-13GEN / 8 GB Ram / 512 GB SSD / W-11 MSO 2021 / TITAN GREY / 14 INCH FHD .......W/OUT BAG",Rs. 50500,""""
"DELL	 INSPIRON 5430, Intel Core i5-13GEN / 8 GB Ram / 512 GB SSD / W-11 MSO 2021 / SILVER / 14 INCH FHD .......W/OUT BAG",Rs. 56300,""""
"HP	 fq5331TU, HP Laptop 15, 12th Generation Intel Core™ i5-1235U,15.6-inch(39.6 cm),FHD,8GB DDR4 RAM,1TB SSD,Intel Iris Xe Graphics, Backlit Kb,Dual Speakers,Win 11 MSO21,Natural Silver,1.69 kg,15s-fq5331TU------------",Rs. 50000,""""
"HP	 fq 5329TU (Core i5 ), 12th Gen Intel Core i5, 15/6inch 8GB RAM, 512GB SSD,  Intel UHD Graphics, Backlit Kb,  with Windows …TAX PAID…CLL FOR BEST DEALS",Rs. 45000,""""
"HP	 Pavilion x360, `HP Pavilion x360 Intel Core i7 13th Gen - (16 GB/512 GB SSD/Windows 11 Home) 14-EK1021TU 2 in 1 ......BEST DEAL",Rs. 83800,""""
"HP	 Victus Gaming 4GB GRAPHIC, 12th Gen Intel Core i5-12450H,4GB RTX 2050 GPU,15.6-inch(39.6 cm),FHD,IPS,144Hz,16GB DDR4,512GB SSD,Backlit KB,MSO,",Rs. 57400,""""
"HP	 Pavilion 14 Ryzen 5 1003AU, AMD Ryzen 5 5625U, 14-inch (35.6 cm), FHD, 8GB DDR4, 512GB SSD, AMD Radeon graphics, Backlit KB, Audio by B",Rs. 52200,""""
"HP	 Pavilion 14, Intel Core i5 13th Gen (14 inch, 16GB, 512GB, Windows 11 Home, MS Office 2021, Intel UHD, FHD IPS Display -ek1074TU....BEST DEAL",Rs. 66500,""""
"HP	 Victus Gaming Ryzen7, Amd Ryzen7 7840Hs,16.1 Inch (40.9 Cm),Fhd,16 Gb Ram, 512Gb Ssd,Nvidia Geforce Rtx 3050 Laptop Gpu,Performance...BEST DEAL",Rs. 77200,""""
"HP 240 G9, i3/12th/8GB Ram/512GB SSD/Dos/ with 1yr Warranty",Rs. 31000,Mashiva Tech.9990666322
"Dell Inspiron 3511, Laptop, Intel Core i5-1135G7, 8GB, 512GB SSD, Windows 11 MSO21",Rs. 49500,Panacea Innovative Technologies9990666334
"Lenovo Thinkbook 14 G2, I3/11th GEN /8GB RAM /256GB SSD/DOS",Rs. 26500,""""
"MSI Thin 15, MSI Thin 15, Intel Core i5-13420H, 40CM FHD 144Hz Gaming Laptop(16GB/512GB NVMe SSD/Windows 11 Home/NVIDIA GeForce RTX 3050,GDDR6 4GB/Cosmos Gray/1.86Kg), B13UC-1805IN",Rs. 70779,""""
"ASUS VivoBook P1440F, ASUS VivoBook P1440F Intel i3-10110U 10th Generation 14-inch HD Compact and Light Laptop (4GB RAM/1TB HDD/DOS/Integrated Graphics/Webcam/No-DVD/Coral Dark Blue/1.60 kg),(P1440FA-FQ1546",Rs. 35999,""""
"LENOVO THINKPAD L14, I5/11TH GEN/16GB RAM/512 SSD/WIN-100 PRO",Rs. 52500,""""
"Acer	 AL15 52, Intel Core i3 1215U 15.6 Inches Notebook 8GB / 512GB SSD / Windows 11.",Rs. 30800,AVS Infomedia6397301845
"ASUS	 TUF Gaming FX706, Intel Core i5-11400H 11th Gen, 17.3-inch (43.94 cm) FHD 144Hz, (16GB/512GB SSD/4GB NVIDIA RTX 2050/Win 11/ RGB Backlit.",Rs. 53000,""""
"ASUS	 TUF Gaming FX577ZC -, ASUS	TUF Gaming FX577ZC -	15.6-inch FHD 144Hz, Intel Core i7-12700H 12th Gen, 4GB NVIDIA RTX 3050, Gaming Laptop (16GB/1TB SSD/Win11/MSO/90WHrs Battery/Gray/2.20 Kg), -HN192WS.",Rs. 85500,""""
"Dell	 Latitude 3540, Core i5	Dell Latitude 3540 (Intel Core i5-1235U/ 12th-Gen/ 8GB RAM/ 512GB SSD/ 15.6FHD",Rs. 52000,""""
"DELL	 Inspiron 3520, Intel Core i3-1215U (12th Gen) / 8 GB Ram / 512 GB SSD / W-11 MSO 2021 / Platinum Silver / 15.6 FHD / Dell Bag",Rs. 35500,""""
"DELL	 VOSTRO 3440, Intel Core i5-13GEN / 8 GB Ram / 512 GB SSD / W-11 MSO 2021 / TITAN GREY / 14 INCH FHD .......W/OUT BAG",Rs. 50500,""""
"DELL 	INSPIRON 5430, Intel Core i5-13GEN / 8 GB Ram / 512 GB SSD / W-11 MSO 2021 / SILVER / 14 INCH FHD .......W/OUT BAG",Rs. 56300,""""
"HP	 fq5331TU, HP Laptop 15, 12th Generation Intel Core™ i5-1235U,15.6-inch(39.6 cm),FHD,8GB DDR4 RAM,1TB SSD,Intel Iris Xe Graphics, Backlit Kb,Dual Speakers,Win 11 MSO21,Natural Silver,1.69 kg,15s-fq5331TU------------",Rs. 50000,""""
"HP	 Pavilion Plus 14 Ultra 5, Intel EVO Core Ultra 5 125H,14-inch 16GB, 512GB SSD, Intel Arc Graphics, WQXGA, 300 nits, 120Hz, 5MP IR Camera, (Win 11, MSO, Blue, 1.44 kg), ew1082TU..",Rs. 79800,""""
"HP	 250 G9, Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Thin and Light Laptop 15.6 inch, Silver, . rate",Rs. 30500,""""
"HP	 Pavilion Plus 14 ultra 5, HP Pavilion Plus 14 AI-enhanced Laptop, Intel EVO Core Ultra 5 125H,14-inch (35.6 cm) 16GB, 512GB SSD, Intel Arc Graphics, WQXGA, 300 nits, 120Hz, 5MP IR Camera, (Win 11, MSO, Blue,",Rs. 80000,""""
"LENOVO	 V-14, Intel Core i3 12th Gen FHD Antiglare 250 nits Thin and Light Lap (8GB RAM/512GB SSD.....82TSA01KIH..TAX PAID ....CLL FOR BEST DEALS",Rs. 26500,""""
"Lenovo ThinkPad E14, AMD Ryzen 5 7530U Laptop (8GB RAM/512GB SSD/Windows 11 Home/AMD Radeon Graphics",Rs. 56789,Mashiva Tech.9990666322
"HP 245G9, R5/8GB RAM/512GB SSD/DOS",Rs. 30999,""""
"HP 240G9, i7/12TH/8GB RAM/512GB SSD/DOS(9Q9L9PA",Rs. 62999,""""
"Lenovo Thinkpad E14 G5, E14 G5/14 WUXGA/I3-1315U/8GB RAM/512GB SSD Win11 pro/INTEGRATED GRAPHIC/FHD Camera/FPR/Wifi BT/Bagpack/1yr premier support",Rs. 47500,Panacea Innovative Technologies9990666334
"Lenovo Thinkpad E14 G5, E14 G5/14 WUXGA/I3-1315U/8GB RAM/512GB SSDNO OS/INTEGRATED GRAPHIC/FHD Camera/FPR/Wifi BT/Bagpack/1yr premier support",Rs. 38500,""""
"HP 15S-EQ2143AU, R3 5300U/8GB/512GB/Win11 MSO/15.6",Rs. 33500,""""
"HP 15-fd0221TU, I5-13th (16GB RAM/512GB/Win11 MS/S-15",Rs. 55199,""""
"dell 3520-inspiron, Intel Core i3-1215U (12th Gen) / 8 GB Ram / 512 GB SSD / W-11 MSO 2021 / Platinum Silver / 15.6 FHD / Dell Bag",Rs. 34500,AVS Infomedia6397301845
"hp  250 g9, Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Thin and Light Laptop 15.6 inch, Silver, . rate",Rs. 30900,""""
"lenovo  v-14, Intel Core i5 12th Gen FHD Antiglare 250 nits Thin and Light Lap (8GB RAM/512GB SSD..DOS....TAX PAID ....CLL FOR BEST DEALS",Rs. 33900,""""
"lenovo  v14, Intel Core i3 12th Gen FHD Antiglare 250 nits Thin and Light Lap (8GB RAM/512GB SSD..DOS....TAX PAID ....CLL FOR BEST DEALS",Rs. 26000,""""
"Lenovo	 Yoga Slim 7 Pro, Intel Evo Core i5 Laptop(8GB/512GB SSD/Win11/MSO 2021",Rs. 68999,Mashiva Tech.9990666322
"HP 15-fd0013TU, 13th Gen Intel Core i5-1335U, 15.6-inch (39.6 cm), FHD, 16GB DDR4, 1TB SSD, Intel Iris Xe Graphics, FHD Camera w/Privacy Shutter (Win 11, MSO 2021, Silver, 1.59 kg), fd0013TU",Rs. 67490,""""
"Dell 16-n0123AX, HP OMEN Gaming Laptop, AMD Ryzen 7 6800H, 8GB RTX 3070Ti GPU, 16.1-inch (40.9 cm), QHD, IPS, 165Hz, 8GB DDR5, 512GB SSD, 300 nits",Rs. 102990,""""
"HP 15s-fq5190TU, 12th Gen Intel Core i7-1255U, 15.6-inch (39.6 cm), FHD, 16GB DDR4, 1TB SSD, Intel Iris Xe Graphics, Backlit KB, Thin",Rs. 69990,""""
"MSI 9S7-15F213-265, MSI Stealth 16 Mercedes-AMG, Intel 13th Gen. i9-13900H, 41CM UHD 60Hz OLED Gaming Laptop (32GB/1TB NVMe SSD/Windows 11 Pro/NVIDIA GeForce RTX 4060, GDDR6 8GB",Rs. 217990,""""
"DELL Latitude, i5/10TH/8GB RAM/256GB SSD",Rs. 55900,""""
"HP Victus, Gaming Laptop, 12th Gen Intel Core i7-12650H, 6GB RTX 4050 GPU, 15.6-inch (39.6 cm), 75W TGP, FHD, IPS, 144Hz, 8GB DDR4, 512GB SSD, Backlit KB, B",Rs. 87789,""""
"Lenovo	 ThinkBook 15 G5, Laptop with AMD Ryzen 7 7730U/ 16 GB Ram/ 512 GB SSD/Windows 11 / Ms-Office 2021/15.6 inch FHD/AMD Radeon 8 Graphics (Renoir)/1 Year Premium Warranty",Rs. 57999,""""
"Dell 3420 i3 8gb 256gb dos, 3420 i3 8gb 256gb dos",Rs. 33000,""""
"HP Victus Gaming Laptop, 12th Gen Intel Core i5-12450H, 4GB RTX 2050 GPU, 15.6-inch (39.6 cm), 50W TGP, FHD, IPS, 144Hz, 16GB DDR4, 1TB SSD, Backlit KB, B",Rs. 66690,""""
"ACER AL 15-52, I3/12TH GEN/8GB RAM/512 GB SSD/WIN-11 HOME",Rs. 30899,""""
", Laptop with M2 chip: 34.46 cm (13.6-inch) Liquid Retina Display, 8GB RAM, 256GB SSD Storage, Backlit Keyboard, 1080p FaceTime HD Camera. Works with iPhone/iPad; Starlight",Rs. 107799,Panacea Innovative Technologies9990666334
"ASUS Vivobook 16X, AMD Ryzen 7 16GB/512GB SSD/Integrated Graphics/Windows 11/Office 2021/Backlit/Fingerprint",Rs. 57859,Mashiva Tech.9990666322
"Dell XPS 9315, Intel Evo Platform Powered by Intel Core i7-1250U Processor, 16GB LPDDR5, 512Gb SSD Win 11 MSO21",Rs. 119290,Panacea Innovative Technologies9990666334
"Lenovo	 ThinkPad E14, AMD Ryzen 5 7530U Laptop (16GB RAM/512GB SSD/Windows 11 Home/AMD Radeon Graphics",Rs. 57890,Panacea Innovative Technologies9990666334
"HP Victus Gaming, Laptop,12th Gen Intel Core i5-12450H,NVIDIA RTX 3050 GPU,15.6-inch (39.6 cm),FHD,IPS,144Hz,Windows 11 Home,9 ms Response time,16GB DDR4,512GB SSD,Backlit KB(MSO,Blue,2.29 kg) fa0666TX",Rs. 71980,""""
"HP 15s, 11th Gen Intel Core i3 8GB RAM/1TB HDD 256 GB SSD 15.6-inches/39.6 cm FHD Laptop/Windows 11/Intel UHD Graphics/Dual Speakers/Alexa/MSO/Fast Charge/1.75 Kg, 15s-du3614TU",Rs. 40999,Mashiva Tech.9990666322
"HP	 ProBook 440 G9, Notebook 12th Gen Intel Core i7-1255U,14 inch(35.6cm) Anti-Glare FHD Laptop/16GB RAM/512GB SSD/BKL Keyboard/Intel Iris Xe graphics/Win11...",Rs. 76500,AVS Infomedia6397301845
"ASUS	 TUF Gaming FX706, Intel Core i5-11400H 11th Gen, 17.3-inch (43.94 cm) FHD 144Hz, (16GB/512GB SSD/4GB NVIDIA RTX 2050/Win 11/ RGB Backlit.",Rs. 53000,""""
"Acer	 AL15 52, Intel Core i3 1215U 15.6 Inches Notebook 8GB / 512GB SSD / Windows 11.",Rs. 30800,""""
"ASUS	 TUF Gaming FX577ZC, -	15.6-inch FHD 144Hz, Intel Core i7-12700H 12th Gen, 4GB NVIDIA RTX 3050, Gaming Laptop (16GB/1TB SSD/Win11/MSO/90WHrs Battery/Gray/2.20 Kg), -HN192WS.",Rs. 85500,""""
"HP	 250 G9, Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Thin and Light Laptop 15.6 inch, Silver, . rate",Rs. 30500,""""
"HP	 fq 5329TU (Core i5 )Q, 12th Gen Intel Core i5, 15/6inch 8GB RAM, 512GB SSD,  Intel UHD Graphics, Backlit Kb,  with Windows …TAX PAID…CLL FOR BEST DEALS",Rs. 46500,""""
"Lenovo	 V14, Intel Core i3 12th Gen FHD Antiglare 250 nits Thin and Light Lap (8GB RAM/512GB SSD..DOS....TAX PAID ....CLL FOR BEST DEALS",Rs. 27000,""""
"LENOVO THINKPAD T 14 G3, I7/12TH GEN/16GB RAM/1TB SSD/WIN-10 PRO",Rs. 109000,Mashiva Tech.9990666322
"ASUS VivoBook P1440F, ASUS VivoBook P1440F Intel i3-10110U 10th Generation 14-inch HD Compact and Light Laptop (4GB RAM/1TB HDD/DOS/Integrated Graphics/Webcam/No-DVD/Coral Dark Blue/1.60 kg),(P1440FA-FQ1546)",Rs. 35999,""""
"Lenovo V15, Lenovo V15 Intel Celeron Dual Core 4th Gen SSD Capacity 256 GB RAM 8 GB RAM Frequency 2400 MHz Operating System Windows 11 Home (15.6 inch, Black)",Rs. 46390,""""
"Dell Inspiron 5430, 13th Gen Laptop, Intel i5-1335U/16GB/ 512GB SSD Windows 11 MSO2",Rs. 69991,Panacea Innovative Technologies9990666334
"HP Pavilion 15, 12Th Gen Intel Core I7 16Gb Sdram/1Tb Ssd 15.6 Inches (39.6Cm) Fhd,IPS/Intel Iris Xe Graphics/B",Rs. 88890,""""
"Apple MacBook Air Laptop M1 chip, Apple MacBook Air Laptop M1 chip, 13.3-inch/33.74 cm Retina Display, 8GB RAM, 256GB SSD Storage, Backlit Keyboard, FaceTime HD Camera, Touch ID. Works with iPhone/iPad; Silver",Rs. 89890,""""
"MSI 9S7-15F213-265, MSI Stealth 16 Mercedes-AMG, Intel 13th Gen. i9-13900H, 41CM UHD 60Hz OLED Gaming Laptop (32GB/1TB NVMe SSD/Windows 11 Pro/NVIDIA GeForce RTX 4060, GDDR6 8GB",Rs. 217989,""""
"LENOVO THINKPAD E15, LENOVO THINKPAD I3, 8GB, 512GB, DOS, 3YEARS WARRANTY",Rs. 36000,Mashiva Tech.9990666322
"ASUS	 TUF Gaming FX706, Intel Core i5-11400H 11th Gen, 17.3-inch (43.94 cm) FHD 144Hz, (16GB/512GB SSD/4GB NVIDIA RTX 2050/Win 11/ RGB Backlit.",Rs. 53000,AVS Infomedia6397301845
"ASUS	 TUF Gaming FX577ZC -, 15.6-inch FHD 144Hz, Intel Core i7-12700H 12th Gen, 4GB NVIDIA RTX 3050, Gaming Laptop (16GB/1TB SSD/Win11/MSO/90WHrs Battery/Gray/2.20 Kg), -HN192WS.",Rs. 85500,""""
"LENOVO 	V-14, Intel Core i3 12th Gen FHD Antiglare 250 nits Thin and Light Lap (8GB RAM/512GB SSD.....82TSA01KIH..TAX PAID ....CLL FOR BEST DEALS",Rs. 26500,""""
"HP	 250 G9, Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Thin and Light Laptop 15.6 inch, Silver, . rate",Rs. 30000,""""
"DELL 	VOSTRO 3440, Intel Core i5-13GEN / 8 GB Ram / 512 GB SSD / W-11 MSO 2021 / TITAN GREY / 14 INCH FHD .......W/OUT BAG",Rs. 50500,""""
"DELL	 INSPIRON 5430, qIntel Core i5-13GEN / 8 GB Ram / 512 GB SSD / W-11 MSO 2021 / SILVER / 14 INCH FHD .......W/OUT BAG",Rs. 56300,""""
"HP	 Pavilion x360, HP Pavilion x360 Intel Core i7 13th Gen - (16 GB/512 GB SSD/Windows 11 Home) 14-EK1021TU 2 in 1 ......BEST DEAL",Rs. 83800,""""
"HP	 Victus Gaming 4GB GRAPHIC, 12th Gen Intel Core i5-12450H,4GB RTX 2050 GPU,15.6-inch(39.6 cm),FHD,IPS,144Hz,16GB DDR4,512GB SSD,Backlit KB,MSO,",Rs. 57400,""""
"HP 	Pavilion 14 Ryzen 5 1003AU, AMD Ryzen 5 5625U, 14-inch (35.6 cm), FHD, 8GB DDR4, 512GB SSD, AMD Radeon graphics, Backlit KB, Audio by B",Rs. 52200,""""
"HP	 Pavilion 14, Intel Core i5 13th Gen (14 inch, 16GB, 512GB, Windows 11 Home, MS Office 2021, Intel UHD, FHD IPS Display -ek1074TU....BEST DEAL",Rs. 66500,""""
"HP	 Victus Gaming Ryzen7, Amd Ryzen7 7840Hs,16.1 Inch (40.9 Cm),Fhd,16 Gb Ram, 512Gb Ssd,Nvidia Geforce Rtx 3050 Laptop Gpu,Performance...BEST DEAL",Rs. 77200,""""
"HP 	ProBook 440 G9 Notebook, 12th Gen Intel Core i7-1255U,14 inch(35.6cm) Anti-Glare FHD Laptop/16GB RAM/512GB SSD/BKL Keyboard/Intel Iris Xe graphics/Win11...",Rs. 76500,""""
"HP  15S-FQ 5329TU, INTEL 12TH GEN Core I5 /  8GB / 512GB SSD / WIN 11   MS OFFICE/ 15.6 FHD/ BACKLIT KB/ SILVER / 1YR-----",Rs. 46000,""""
"MSI Thin GF63, Intel 12th Gen. i7-12650H, 40CM FHD 144Hz Gaming Laptop (16GB/512GB NVMe SSD/Windows 11 Home/Nvidia GeForce RTX 4050, GDDR6 6GB), A12VE-070IN",Rs. 92970,Mashiva Tech.9990666322
"DELL VOSTRO 3440, Intel Core i5-13GEN / 16 GB Ram / 512 GB SSD / W-11 MSO 2021 / TITAN GREY / 14 INCH FHD .W/OUT BAG",Rs. 51500,""""
"HP HP 250 G9, ntel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Thin and Light Laptop 15.6 inch, Silver",Rs. 29700,""""
"LENOVO V-14, Intel Core i3 12th Gen FHD Antiglare 250 nits Thin and Light Lap (8GB RAM/512GB SSD.82TSA01KIH",Rs. 26500,""""
"Corsair Vengeance LPX, Corsair Vengeance LPX 8GB (1x8GB) DDR4 3200MHZ C16 Desktop RAM (Black)",Rs. 1897,""""
"ASUS FX706, LAPTOP I5/8 gb /512 ssd/W11/MSO/17.3/2050 4GB grphic",Rs. 52000,""""
"Dell  Inspiron 7430, 13th Gen Intel i5-1335U/16GB/512GB SSD/14.0",Rs. 60200,""""
"HP HP Victus 15-fa1227TX, Intel (Core i5 12th Gen/16 GB/512 GB SSD/Windows 11/4 GB)...",Rs. 56500,""""
"MSI 9S7-15F213-265, MSI Stealth 16 Mercedes-AMG, Intel 13th Gen. i9-13900H, 41CM UHD 60Hz OLED Gaming Laptop (16GB/1TB NVMe SSD/Windows 11 Pro/NVIDIA GeForce RTX 4060, GDDR6 8GB",Rs. 217990,""""
"Apple MacBook Air M1, APPLE MacBook Air M1 - (8 GB/512 GB SSD/Mac OS Big Sur) MGNA3HN/A (13.3 inch, Silver, 1.29 kg",Rs. 114363,""""
"Lenovo	 Legion 5, AMD Ryzen 7 Gaming Laptop (16GB/1TB SSD/6GB NVIDIA RTX 3060/165Hz/Windows 11/Office 2021",Rs. 131990,""""
"Hp Pavilion X360, 11Th Gen Intel Core I3 14 Inches Fhd Multitouch 2-in-1 Laptop(8Gb Ram/512Gb Ssd",Rs. 63362,""""
"ASUS Vivobook 16X, Intel Core i9-13900H 13th Gen Laptop (16GB/1TB SSD/NVIDIA Geforce RTX 3050 4GB/Win11",Rs. 109900,""""
"Acer Aspire Lite, spire Lite 13th Gen Intel Core i3-1305U Windows 11 Home/8 GB RAM/512GB SSD",Rs. 32500,""""
"ASUS Vivobook 16X, Intel Core i9-13900H 13th Gen Laptop (16GB/512GB SSD SSD/NVIDIA Geforce RTX 3050 4GB/Win11",Rs. 54899,""""
"LEN0VO THINKPAD L14, I5/11TH GEN/8GB RAM/256GB SSD/WIN-10 PRO",Rs. 56500,""""
"Dell  Dell 5411, Intel Core I7 10Th Generation",Rs. 26000,Aakash Systems Pvt Ltd8383931110
"Dell Dell 5411, Intel Core I5 10Th Generation",Rs. 23000,""""
"Dell Dell 5310T, Intel Core I7 10Th Generation",Rs. 26500,""""
"Dell  Dell 5410, Intel Core I5 10Th Generation",Rs. 22000,""""
"Dell  7470, Intel Core I7 6Th Generation",Rs. 14000,""""
"Dell  Dell 5410, Intel Core I7 10Th Generation",Rs. 25000,""""
"Dell Dell 5490, Intel Core I5 7Th Generation",Rs. 14000,""""
"Dell  Dell 5420, Intel Core I7 11Th Generation",Rs. 32000,""""
"Dell Dell 5420, Intel Core I5 11Th Gen 8GB Ram 256GB SSD",Rs. 29000,""""
"Dell  Dell 3310 Touch 2in1, Intel Core I3 8Th Gen 16GB Ram 512GB SSD",Rs. 17500,""""
"APPLE MacBook Air: Apple M1 chip with 8, 13-inch MacBook Air: Apple M1 chip with 8-core CPU and 8-core GPU, 512GB - Space Grey",Rs. 117900,Mashiva Tech.9990666322
"Dell  Dell 3340 Touch 2in1, Intel Core I3 8Th Gen 16GB Ram 512GB SSD",Rs. 17500,Aakash Systems Pvt Ltd8383931110
"HP ENVY 14 fc0105TU, ULTRA 5 125U/16GB RAM/512GB SSD/WIN11 MSO",Rs. 90500,Mashiva Tech.9990666322
"Lenovo Thinkpad E14 G5, i3-1315u/8GB RAM/512GB SSD/Win11 pro/Integrated Graphic/FHD Camera/FPR/WIFI BT/Bagpack/1y Premier Support",Rs. 48687,""""
"Lenovo Thinkpad E14 G5, i3-1315u/8GB RAM/512GB SSD/ON OS/Integrated Graphic/FHD Camera/FPR/WIFI BT/Bagpack/1y Premier Support",Rs. 39990,""""
"HP  	ProBook 440 G9	Notebook, 12th Gen Intel Core i7-1255U,14 inch(35.6cm) Anti-Glare FHD Laptop/16GB RAM/512GB SSD/BKL Keyboard/Intel Iris Xe graphics/Win11...",Rs. 76500,AVS Infomedia6397301845
"ASUS	 TUF Gaming FX706, Intel Core i5-11400H 11th Gen, 17.3-inch (43.94 cm) FHD 144Hz, (16GB/512GB SSD/4GB NVIDIA RTX 2050/Win 11/ RGB Backlit.",Rs. 53000,""""
"HP 	Pavilion Plus 14 ultra 5, HP Pavilion Plus 14 AI-enhanced Laptop, Intel EVO Core Ultra 5 125H,14-inch (35.6 cm) 16GB, 512GB SSD, Intel Arc Graphics, WQXGA, 300 nits, 120Hz, 5MP IR Camera, (Win 11, MSO, Blue,",Rs. 80000,""""
"LENOVO 	V-14, Intel Core i3 12th Gen FHD Antiglare 250 nits Thin and Light Lap (8GB RAM/512GB SSD.....82TSA01KIH..TAX PAID ....CLL FOR BEST DEALS",Rs. 26500,""""
"Dell	 Latitude 3540, Core i5	Dell Latitude 3540 (Intel Core i5-1235U/ 12th-Gen/ 8GB RAM/ 512GB SSD/ 15.6FHD",Rs. 52500,""""
"DELL 	lattitude 3540, Intel Core i3 12th Gen - (8 GB/512 GB SSD/15.6 FHD/dos",Rs. 30000,""""
"HP	 250 G9, Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Thin and Light Laptop 15.6 inch, Silver, . rate",Rs. 30000,""""
"DELL	 Inspiron 3520, Intel Core i3-1215U (12th Gen) / 8 GB Ram / 512 GB SSD / W-11 MSO 2021 / Platinum Silver / 15.6 FHD / Dell Bag",Rs. 35500,""""
"DELL	 VOSTRO 3440, Intel Core i5-13GEN / 8 GB Ram / 512 GB SSD / W-11 MSO 2021 / TITAN GREY / 14 INCH FHD .......W/OUT BAG",Rs. 50500,""""
"DELL	 INSPIRON 5430, Intel Core i5-13GEN / 8 GB Ram / 512 GB SSD / W-11 MSO 2021 / SILVER / 14 INCH FHD .......W/OUT BAG",Rs. 56300,""""
"HP 	Pavilion Plus 14 Ultra 5, Intel EVO Core Ultra 5 125H,14-inch 16GB, 512GB SSD, Intel Arc Graphics, WQXGA, 300 nits, 120Hz, 5MP IR Camera, (Win 11, MSO, Blue, 1.44 kg), ew1082TU..",Rs. 79800,""""
"HP	 fq5331TU, HP Laptop 15, 12th Generation Intel Core™ i5-1235U,15.6-inch(39.6 cm),FHD,8GB DDR4 RAM,1TB SSD,Intel Iris Xe Graphics, Backlit Kb,Dual Speakers,Win 11 MSO21,Natural Silver,1.69 kg,15s-fq5331TU------------",Rs. 50000,""""
"HP 	fq 5329TU (Core i5 ), 12th Gen Intel Core i5, 15/6inch 8GB RAM, 512GB SSD,  Intel UHD Graphics, Backlit Kb,  with Windows …TAX PAID…CLL FOR BEST DEALS",Rs. 45500,""""
"HP 	ProBook 440 G9	Notebook, 12th Gen Intel Core i7-1255U,14 inch(35.6cm) Anti-Glare FHD Laptop/16GB RAM/512GB SSD/BKL Keyboard/Intel Iris Xe graphics/Win11...",Rs. 76500,""""
"LENOVO 	V-14, Intel Core i3 12th Gen FHD Antiglare 250 nits Thin and Light Lap (8GB RAM/512GB SSD.....82TSA01KIH..TAX PAID ....CLL FOR BEST DEALS",Rs. 28000,""""
"Lenovo V14, I3/12TH GEN/8GB RAM/512GB SSD/DOS",Rs. 29000,Mashiva Tech.9990666322
"Acer A515-56-54B7, I5/11TH GEN/8GB RAM/1TB SSD/WIN 10 CALL FOR BET PRICE",Rs. 44500,""""
"Acer TMP 214, I3/11TH GEN/8GB RAM/256GB SSD 1TB/WIN 10 PRO CALL   FOR BEST PRICE",Rs. 50400,""""
"Lenovo V15, AMD Ryzen 5 (8GB/512GB SSD/Windows 11",Rs. 34599,""""
"DELL LATITUDE 3440, I5/12TH GEN/8GB RAM DDR4/512GB SSD/DOS/1 YR ADP",Rs. 48600,""""
"DELL 3520, I5/12TH GEN/8GB RAM/512GB SSD/WIN11/BLACK",Rs. 45499,""""
"Acer TMP214-53, I5/8GB RAM/512GB SSD/DOS",Rs. 42500,""""
"HP 15fd0186TU, I513TH GEN/8GBRAM/512GB SSD/WIN11 MS",Rs. 54500,""""
"Acer LAPTOP ACDT100615C, I7/11TH GEN/16GB RAM/512GB SSD/DOS",Rs. 70499,""""
"HP 14-EK1074TU, I5/13TH GEN/16GB RAM/512GB SSD/WIN11 MOS",Rs. 39000,""""
"Acer  AL15  52, Intel Core i3  1215U 15.6 Inches Notebook 8GB / 512GB SSD / Windows 11.",Rs. 30800,AVS Infomedia6397301845
"Acer	 Aspire A315-59, Core i5 Intel Core i5 12th Generation Laptop (Windows 11 Home/16GB/512 GB SSD/MS Office) A315-59 with (15.6) Full HD Display..A315-59..TAX PAID .. .W",Rs. 44500,""""
"Acer EX215-55-55GQ, I5/12TH GEN/8GB RAM/512GB SSD/WIN11/1YR WARRANTY/",Rs. 40499,Mashiva Tech.9990666322
"Acer A315-59, I5/12TH GEN/8GB RAM/512GB SSD/WIN11",Rs. 45999,""""
"Dell  Latitude 3540   Core i5, Dell Latitude 3540 (Intel Core i5-1235U/ 12th-Gen/ 8GB RAM/ 512GB SSD/  15.6FHD",Rs. 53000,AVS Infomedia6397301845
"Acer A315-510P, I3/8GB RAM/ 512GB SSD/WIN11",Rs. 32000,Mashiva Tech.9990666322
